Date,Tmax,Tmin,Rain,Rad,ETo,Irri,Tsoi
1,21.82,4.05,0,17.14,5.23,0,12
2,20.26,4.93,0,21.39,4.77,0,12
3,13.63,6.44,31,11.08,2.98,0,12
4,15.29,6.95,8,14.79,3.32,0,12
5,14.94,5.82,0,13.84,3.4,0,12
6,16.01,4.84,1,18.27,3.79,0,12
7,17.86,4.61,0,22.96,4.24,0,12
8,18.83,5.94,1,17.14,4.31,0,12
9,9.29,2.88,9,5.96,2.49,0,12
10,19.26,-0.18,1,30.23,5.01,0,12
11,20.67,0.37,0,32.11,5.28,0,12
12,21.32,1.28,0,30.61,5.35,0,12
13,19.46,6.13,0,28.15,4.43,0,12
14,19.69,5.08,0,16.64,4.61,0,12
15,19.75,4.68,8,17.82,4.66,0,12
16,17.54,3.71,7,12.39,4.26,0,12
17,20.54,2.99,0,22.77,5.01,0,12
18,15.1,6.82,19,12.77,3.27,0,12
19,15.17,6.51,7,14.5,3.33,0,12
20,14.15,6.04,9,9.85,3.15,0,12
21,12.05,6.42,5,8.8,2.56,0,12
22,15.18,6.43,2,12.81,3.34,0,12
23,16.94,4.54,0,20.54,4.01,0,12
24,18.69,7.64,0,22.4,4.02,0,12
25,16.04,9.27,0,14.75,3.08,0,12
26,14.77,7.54,8,11.87,3.05,0,12
27,16.27,5.51,0,16.63,3.72,0,12
28,20.7,7.28,0,22.17,4.54,0,12
29,19.93,7.72,0,18.01,4.29,0,12
30,18.25,5.31,0,16.64,4.19,0,12
31,14.61,4.06,1,14.15,3.5,0,12
1,19.44,4.43,0,19.56,4.56,0,12
2,17.74,3.9,0,21.97,4.22,0,12
3,18.05,4.07,13,18.93,4.27,0,12
4,18.55,4.62,0,15.44,4.32,0,12
5,15.91,4.74,3,14.31,3.69,0,12
6,17.69,4.02,7,12.36,4.18,0,12
7,18.2,6.65,15,14.6,3.97,0,12
8,19,7.36,0,22.62,4.07,0,12
9,16.7,5.33,1,14.49,3.78,0,12
10,16.77,5.09,10,13.79,3.82,0,12
11,14.48,7.46,5,15.58,2.94,0,12
12,17.07,5.38,3,13.88,3.84,0,12
13,17.09,2.93,0,22.95,4.11,0,12
14,18.93,5.59,18,12.74,4.23,0,12
15,18.88,5.15,0,19.87,4.26,0,12
16,18.49,5.05,0,27.14,4.18,0,12
17,16.88,8.44,4,17,3.34,0,12
18,15.29,5.41,9,17.92,3.39,0,12
19,17.01,6.07,0,22.82,3.69,0,12
20,18.58,6.05,0,24.26,4.05,0,12
21,18.49,4.46,0,25.22,4.2,0,12
22,17.45,5.9,1,12.85,3.79,0,12
23,18.13,6,6,23.86,3.92,0,12
24,19.89,2.43,0,26.62,4.67,0,12
25,18.4,4.69,0,19.19,4.12,0,12
26,17.61,6.44,5,20.34,3.73,0,12
27,15.2,7.97,0,11.38,2.93,0,12
28,21.62,3.57,0,24.65,4.9,0,12
1,9.99,3.68,14,4.8,2.37,0,12
2,18.12,3.43,0,19.71,4.13,0,12
3,19.41,-0.21,0,26.74,4.71,0,12
4,17.19,-0.39,0,30.31,4.25,0,12
5,17.63,-1,0,29.84,4.38,0,12
6,16.18,2.92,0,26.77,3.73,0,12
7,17.86,-1.04,0,27.07,4.4,0,12
8,18.63,3.36,5,19.07,4.18,0,12
9,17.69,1.96,1,25.62,4.1,0,12
10,18.05,1.11,0,25.02,4.23,0,12
11,16.16,2.56,2,14.43,3.7,0,12
12,18.66,2.23,0,20.71,4.23,0,12
13,19.03,2.49,0,27.62,4.27,0,12
14,19.87,3.97,0,22.21,4.3,0,12
15,18.39,2.94,0,16.38,4.07,0,12
16,17.54,5.51,10,22.7,3.62,0,12
17,17.96,5.24,4,15.64,3.73,0,12
18,19.26,3.91,1,21.69,4.12,0,12
19,20.78,2.72,0,27.29,4.52,0,12
20,20.43,3.92,0,16.68,4.33,0,12
21,18.64,2.76,0,15.81,4.05,0,12
22,18.94,2.29,1,18.46,4.14,0,12
23,21.12,-0.03,0,27.55,4.73,0,12
24,22.18,1.09,0,26.68,4.85,0,12
25,18.23,4.89,0,13.56,3.71,0,12
26,18.91,3.1,0,19.83,4,0,12
27,16.62,1.47,0,15.94,3.68,0,12
28,20.29,1.91,0,24.63,4.33,0,12
29,15.67,4.81,14,9.92,3.14,0,12
30,18.39,3.51,0,18.1,3.79,0,12
31,19.78,0.78,0,20.87,4.27,0,12
1,20.76,1.41,3,20.85,4.39,0,12
2,19.4,1.49,0,21.97,4.11,0,12
3,20.62,3.59,1,21.13,4.15,0,12
4,20.98,1.58,0,27.85,4.36,0,12
5,20.81,4.65,0,21.98,4.06,0,12
6,18.67,2.38,0,10.59,3.83,0,12
7,22.99,1.86,0,24.32,4.67,0,12
8,23.48,-2.43,0,26.12,5.03,0,12
9,23.99,-1.68,0,25.8,5.06,0,12
10,18.23,1.91,0,15.86,3.71,0,12
11,14.85,3.78,1,13.06,2.91,0,12
12,15.72,3.4,0,17.78,3.09,0,12
13,16.47,1.77,1,11.94,3.35,0,12
14,17.27,2.7,0,15.42,3.41,0,12
15,17.96,0.83,0,16.74,3.66,0,12
16,20.08,0.46,0,23.95,4.05,0,12
17,22.4,1.38,0,19.69,4.38,0,12
18,17.56,4.95,0,16.29,3.19,0,12
19,19.8,-0.21,0,22.58,3.98,0,12
20,19,2.31,0,16.25,3.64,0,12
21,21.79,1.15,0,21.39,4.21,0,12
22,20.14,2.76,0,22.34,3.78,0,12
23,17.06,5.05,11,15.52,3.02,0,12
24,17.84,3.93,0,21.19,3.24,0,12
25,21.47,2.52,0,22.2,3.98,0,12
26,21.77,2.46,0,23.39,4.01,0,12
27,22.43,2.15,0,22.41,4.13,0,12
28,18.9,0.84,2,15.89,3.59,0,12
29,17.99,0.17,0,20.13,3.47,0,12
30,19.54,0.4,0,22.75,3.7,0,12
1,21.21,1.52,0,18.59,3.89,0,12
2,20.45,0.4,0,20.71,3.82,0,12
3,19.73,-0.26,0,22.94,3.72,0,12
4,21.49,-0.48,0,22.77,4.01,0,12
5,19.32,-0.81,0,16.49,3.65,0,12
6,22.21,0.45,0,20.7,4.04,0,12
7,21.23,0.54,0,22.66,3.85,0,12
8,21.97,1.39,0,22.14,3.9,0,12
9,18.48,1.16,7,14.21,3.33,0,12
10,16.01,4.18,0,16.76,2.68,0,12
11,18.48,1,0,19.22,3.31,0,12
12,17.86,-0.64,0,21.07,3.3,0,12
13,18.01,1.14,0,22.05,3.2,0,12
14,21.14,-2.61,0,22.16,3.91,0,12
15,20.54,-2.46,0,21.87,3.79,0,12
16,22.26,-3.21,0,22,4.09,0,12
17,21.34,-2.14,0,21.74,3.87,0,12
18,21.05,-1.97,0,21.73,3.8,0,12
19,20.85,-2.28,0,21.53,3.77,0,12
20,19.66,-2.48,0,21.27,3.58,0,12
21,20.7,-0.87,0,20.74,3.64,0,12
22,20.67,-0.34,0,20.62,3.59,0,12
23,22.16,-0.79,0,21.21,3.84,0,12
24,21.81,-3.14,0,21.27,3.9,0,12
25,19.81,-1.67,0,20.93,3.5,0,12
26,21.44,-1.33,0,20.53,3.72,0,12
27,19.24,-1.09,0,20.66,3.36,0,12
28,19.99,-3.29,0,20.79,3.58,0,12
29,18.79,-1.81,0,19.71,3.31,0,12
30,17.11,-1.58,0,18.98,3.04,0,12
31,20.04,-2.98,0,20.47,3.54,0,12
1,20,-2.81,0,20.53,3.52,0,12
2,21.14,-3.1,0,20.65,3.7,0,12
3,21.73,-2.85,0,20.5,3.77,0,12
4,16.52,-4.48,0,15.54,3.07,0,12
5,20.87,-1.97,0,20.24,3.57,0,12
6,21.45,-1.2,0,19.17,3.61,0,12
7,19.06,-3,0,19.65,3.34,0,12
8,17.32,-0.73,0,14.61,2.96,0,12
9,16.27,-4.22,0,16.65,2.99,0,12
10,16.76,-6.09,0,19.85,3.15,0,12
11,19.27,-5.37,0,20.18,3.47,0,12
12,20.14,-3.36,0,18.6,3.5,0,12
13,19.34,1.36,0,17.96,3.11,0,12
14,20.23,-1.93,0,19.84,3.43,0,12
15,20.41,-3.15,0,19.92,3.52,0,12
16,19.18,-1.64,0,19.84,3.25,0,12
17,17.68,-2.42,0,18.35,3.07,0,12
18,17.46,1.47,0,17.03,2.81,0,12
19,17.34,0.06,0,14.08,2.88,0,12
20,16.16,-2.89,0,17.67,2.88,0,12
21,16.82,-7.36,0,20.16,3.19,0,12
22,19.91,-5.58,0,20,3.55,0,12
23,18.04,-5.2,0,19.95,3.26,0,12
24,17.71,-6.99,0,20.08,3.3,0,12
25,16.42,-6.35,0,19.48,3.09,0,12
26,17.73,-5.95,0,19.95,3.26,0,12
27,18.71,-4.49,0,19.92,3.33,0,12
28,18.41,-5.02,0,19.89,3.31,0,12
29,17.57,-3.24,0,19.43,3.11,0,12
30,17.61,-2.58,0,19.27,3.08,0,12
1,24.27,-2.95,0,20.02,4.15,0,12
2,21.18,-2.31,0,19.65,3.6,0,12
3,19.31,-1.11,0,19.39,3.26,0,12
4,15.76,0.63,0,17.18,2.64,0,12
5,15.86,1.98,0,14.08,2.57,0,12
6,10.69,3.88,7,6.17,1.67,0,12
7,10.65,-2.27,0,8.47,2.13,0,12
8,18.69,-6.76,0,20.19,3.48,0,12
9,19.11,-5.13,0,20,3.48,0,12
10,16.63,-3.15,0,19.52,3.02,0,12
11,16.02,-2.53,0,19.23,2.91,0,12
12,15.19,-4.37,0,19.82,2.89,0,12
13,14.5,-2.07,0,19.33,2.68,0,12
14,18.03,-5.42,0,20.31,3.37,0,12
15,18.79,-4.11,0,19.34,3.43,0,12
16,15.32,-0.17,0,16.44,2.7,0,12
17,14.72,0.22,0,18.17,2.6,0,12
18,17.53,-3.83,0,20.55,3.25,0,12
19,19.65,-4.25,0,20.77,3.61,0,12
20,21.58,-4.19,0,20.78,3.92,0,12
21,20.84,-5.73,0,20.83,3.91,0,12
22,20.03,-5.6,0,20.87,3.77,0,12
23,19.91,-4.25,0,20.99,3.69,0,12
24,15.94,-1.35,0,20.02,2.94,0,12
25,19.29,-3.24,0,20.47,3.57,0,12
26,18.61,-0.63,0,18.46,3.33,0,12
27,18.91,-5.17,0,21.34,3.64,0,12
28,15.94,-3.2,0,20.87,3.09,0,12
29,15.38,-0.37,0,18.68,2.86,0,12
30,16.78,-3.72,0,21.14,3.27,0,12
31,17.06,-2.01,0,16.02,3.24,0,12
1,18.75,-3.75,1,21.7,3.61,0,12
2,21.23,-4.44,0,21.88,4.06,0,12
3,19.58,-4,0,21.61,3.79,0,12
4,19.44,-5.63,0,21.7,3.86,0,12
5,21.12,-3.67,0,21.62,4.05,0,12
6,19.83,-5.13,0,22.44,3.93,0,12
7,19.81,-5.72,0,22.73,3.98,0,12
8,18.53,-6.4,0,21.43,3.82,0,12
9,17.47,-3.15,0,21.13,3.49,0,12
10,10.36,-0.3,2,7.32,2.23,0,12
11,5.87,0.35,16,4.17,1.49,0,12
12,11.06,0.64,9,9.82,2.28,0,12
13,12.48,0.45,0,22.38,2.53,0,12
14,16.95,-1.49,0,23.69,3.39,0,12
15,19.1,-3.34,0,22.74,3.87,0,12
16,14.48,-3.81,0,23.78,3.16,0,12
17,16.33,-0.49,7,15.28,3.27,0,12
18,14.14,1.94,0,13.29,2.75,0,12
19,15.35,1.38,1,9.58,3.01,0,12
20,12.9,2.23,4,8.74,2.54,0,12
21,6.34,0.48,41,1.57,1.63,0,12
22,11.5,-0.83,0,20.92,2.58,0,12
23,14.94,-1.92,0,24.83,3.23,0,12
24,17.87,-1.75,0,25.12,3.73,0,12
25,19.88,-1.04,0,25.01,4.05,0,12
26,21.42,-0.86,0,24.86,4.33,0,12
27,20.38,-0.9,0,24.99,4.17,0,12
28,18.41,-0.63,0,24.37,3.82,0,12
29,18.47,0.78,0,24.5,3.75,0,12
30,20.5,0.64,0,22.64,4.14,0,12
