day,month,year,tmin,tmax,Rad,Prec,Irri
17,7,2012,16.6,20.8,2.819,0,0
18,7,2012,16.4,18.5,1.522,0,0
19,7,2012,16.8,22.2,6.398,0,0
20,7,2012,16.3,21,3.452,0,0
21,7,2012,16.5,22.3,6.618,0,0
22,7,2012,16.4,21.3,6.302,0,0
23,7,2012,14.7,22.8,5.988,0,0
24,7,2012,15,22.2,6.689,0,25.2
25,7,2012,15.6,20.2,2.662,0,0
26,7,2012,16,21.4,4.309,0,0
27,7,2012,15.9,21.4,5.769,0,0
28,7,2012,16.6,22.2,6.971,0,0
29,7,2012,15.3,22.8,1.508,0,0
30,7,2012,15.4,22.5,5.737,0,0
31,7,2012,15.4,18.2,1.894,0,40.95
1,8,2012,15,17.6,2.58,0,0
2,8,2012,14.8,17.1,1.75,0,0
3,8,2012,14.8,18.2,2.375,0,0
4,8,2012,14.6,18,1.861,0,0
5,8,2012,14.7,18.1,1.907,0,0
6,8,2012,14.9,17.9,2.632,0,0
7,8,2012,14.2,19.6,3.49,0,0
8,8,2012,14.8,17.2,1.798,0,0
9,8,2012,14.4,16.8,2.118,0,0
10,8,2012,14.2,17.1,2.342,0,0
11,8,2012,14.2,17.4,2.342,0,0
12,8,2012,14.1,18.5,3.095,0,0
13,8,2012,14.5,20.4,5.681,0,0
14,8,2012,14.1,20.9,5.334,0,12.6
15,8,2012,13.8,17.6,2.342,0,0
16,8,2012,14.7,19.6,5.56,0,0
17,8,2012,13.8,22.7,8.964,0,37.8
18,8,2012,14.2,21.2,3.442,0,0
19,8,2012,13.7,16.6,1.7,0,0
20,8,2012,14.1,17.2,2.279,0,0
21,8,2012,14.2,19,3.251,0,0
22,8,2012,14.7,19.5,4.61,0,0
23,8,2012,13.9,19,5.553,0,0
24,8,2012,13.9,17,1.798,0,0
25,8,2012,14,19,3.569,0,0
26,8,2012,14.3,21.2,7.178,0,0
27,8,2012,14.2,18.6,3.178,0,0
28,8,2012,14.5,16.6,2.246,0,22.05
29,8,2012,14.4,20.8,7.013,0,0
30,8,2012,14.8,19.8,4.109,0,0
31,8,2012,14.9,18.7,3.69,0,0
1,9,2012,14.2,17.8,2.375,0,0
2,9,2012,10.7,22,7.226,0,0
3,9,2012,13.6,22.2,7.322,0,0
4,9,2012,14.6,17.6,1.957,0,0
5,9,2012,14.2,19.4,2.896,0,0
6,9,2012,15.2,18.2,2.087,0,0
7,9,2012,15.2,18.3,3.095,0,0
8,9,2012,14.8,21.1,6.687,0,0
9,9,2012,14.3,20,4.911,0,0
10,9,2012,14.4,18.9,3.191,0,0
