Day     Month   Year    Tmin    Tmax    Rad     Prec    Irri    sunsh   ETo
       1       1    1995     5.2      19    20.1     1.8       0   12.69    4.42
       2       1    1995     6.2    18.1    23.1     3.3       0   12.69    4.35
       3       1    1995       7      19    23.1       1       0   12.68    4.49
       4       1    1995     6.1      21      25       0       0   12.68    5.25
       5       1    1995     3.4    22.8    27.2     0.5       0   12.68    6.16
       6       1    1995     4.2    22.3    26.6       0       0   12.67    5.91
       7       1    1995       4    23.2    27.1     0.8       0   12.67    6.21
       8       1    1995       5      24      27       0       0   12.66    6.33
       9       1    1995       7    23.1    25.7    13.8       0   12.66    5.78
      10       1    1995       2    19.8    22.1     2.8       0   12.66    5.08
      11       1    1995       5      22    26.1       0       0   12.65    5.71
      12       1    1995     5.2    19.2    24.5     0.5       0   12.65    4.84
      13       1    1995       6    19.2      24     9.6       0   12.64    4.72
      14       1    1995     4.1    21.1    26.1       0       0   12.64    5.56
      15       1    1995     3.2    24.2    27.8       0       0   12.63     6.6
      16       1    1995     4.2      18    24.4     3.8       0   12.63    4.62
      17       1    1995     2.8    18.1    20.9     5.8       0   12.62     4.5
      18       1    1995     3.1    22.1      27     1.8       0   12.61    5.98
      19       1    1995     2.8    15.8    23.9       0       0   12.61    4.18
      20       1    1995     1.5    24.2    26.2       0       0   12.60     6.6
      21       1    1995     5.8    17.3    22.8     5.6       0   12.59    4.17
      22       1    1995     7.4    19.4    23.2     0.3       0   12.59    4.56
      23       1    1995     4.2    19.3    25.2     1.3       0   12.58    5.01
      24       1    1995     3.7    19.2    25.4       0       0   12.57    5.05
      25       1    1995       6      18    23.2     3.8       0   12.57    4.35
      26       1    1995     6.2    17.5    22.6     2.8       0   12.56    4.16
      27       1    1995       2      22    23.1       0       0   12.55    5.72
      28       1    1995       2      20    26.6     5.1       0   12.54    5.49
      29       1    1995     2.7      21    26.7       0       0   12.54     5.7
      30       1    1995       2      20    26.6       3       0   12.53    5.49
      31       1    1995     4.1    21.1    26.1     1.5       0   12.52    5.55
       1       2    1995     4.2    19.5    25.2     0.3       0   12.51    5.06
       2       2    1995     4.1    22.2    26.6     4.1       0   12.50    5.88
       3       2    1995     3.2    19.1    25.6     1.5       0   12.49    5.08
       4       2    1995       6      20    24.5     1.3       0   12.49    4.96
       5       2    1995     5.8    22.1    25.8     7.6       0   12.48    5.63
       6       2    1995       3    17.8    20.6       0       0   12.47    4.38
       7       2    1995       2    22.2    27.4       0       0   12.46    6.12
       8       2    1995       3      22      27       0       0   12.45    5.95
       9       2    1995     4.8    22.1    26.2       0       0   12.44    5.75
      10       2    1995       3    22.1      27    13.2       0   12.43    5.97
      11       2    1995     6.8    23.3    21.5       0       0   12.42    5.46
      12       2    1995       6      20    24.4     0.3       0   12.41    4.94
      13       2    1995       6    21.5    25.2       0       0   12.40    5.39
      14       2    1995     5.7      20    24.5     1.5       0   12.39    4.97
      15       2    1995     4.2      20    25.4      28       0   12.38    5.19
      16       2    1995     5.1      19      20     2.1       0   12.37    4.41
      17       2    1995     4.1    14.2      19     0.3       0   12.36    3.32
      18       2    1995       5    16.8    22.8    16.5       0   12.35    4.11
      19       2    1995       4      16    18.9    13.4       0   12.34    3.72
      20       2    1995       4      19    20.6     1.3       0   12.33    4.56
      21       2    1995     3.2      18    22.2     6.3       0   12.32    4.52
      22       2    1995     2.9    19.8    15.2     2.5       0   12.31    4.43
      23       2    1995     3.2      16    23.4       0       0   12.30    4.13
      24       2    1995     2.9    17.4    24.5    25.4       0   12.29    4.57
      25       2    1995     4.1      14    21.1     0.3       0   12.28    3.42
      26       2    1995     2.9    15.6    23.3     0.5       0   12.27    4.05
      27       2    1995     3.7    19.8    25.3     1.3       0   12.26    5.15
      28       2    1995     2.5      19    25.4     3.6       0   12.25    5.06
       1       3    1995     3.5      16    20.6     0.8       0   12.24    3.88
       2       3    1995     3.2    16.4    23.5     1.3       0   12.23    4.22
       3       3    1995     4.2    14.2    21.1       3       0   12.21    3.44
       4       3    1995       6      18    18.6    10.9       0   12.20    3.94
       5       3    1995     4.5    18.4    21.4       1       0   12.19    4.41
       6       3    1995       3    17.5    24.2    11.5       0   12.18    4.54
       7       3    1995     6.3      18    19.8     5.6       0   12.17       4
       8       3    1995     5.5    18.3      23      14       0   12.16    4.41
       9       3    1995       6    19.1    23.2      12       0   12.15    4.57
      10       3    1995     6.7      17    21.1       4       0   12.14    3.82
      11       3    1995       7    14.8    16.3       3       0   12.12    2.91
      12       3    1995     6.6    13.5    15.3    16.5       0   12.11     2.6
      13       3    1995       5      15    18.3       3       0   12.10    3.32
      14       3    1995     4.5    13.5    19.8     5.3       0   12.09    3.15
      15       3    1995     4.6      14    20.1     0.5       0   12.08    3.26
      16       3    1995     2.5      18    24.3       0       0   12.07    4.68
      17       3    1995     3.5    18.7    24.1       0       0   12.06    4.75
